"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick"
2020-10-01,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-02,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-03,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-04,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-05,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-06,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-07,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-08,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-09,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-10,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-11,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-12,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-13,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-14,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-15,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-16,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-17,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-18,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-19,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-20,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-21,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-22,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-23,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-24,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-25,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-26,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-27,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-28,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-29,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-30,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-10-31,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-01,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-02,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-03,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-04,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-05,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-06,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-07,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-08,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-09,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-10,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-11,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-12,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-13,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-14,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-15,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-16,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-17,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-18,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-19,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-20,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-21,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-22,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-23,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-24,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-25,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-26,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-27,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-28,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
2020-11-29,0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276
